Year,Language,Popularity
2011,Perl,2.56666666666667
2012,Perl,2.21333333333333
2013,Perl,1.8775
2014,Perl,1.22166666666667
2015,Perl,1.31166666666667
2016,Perl,1.0125
2017,Perl,0.8225
2018,Perl,0.7425
2019,Perl,0.59
2020,Perl,0.504444444444444
2004,PHP,18.94
2005,PHP,19.5791666666667
2006,PHP,19.8225
2007,PHP,19.94
2008,PHP,19.6583333333333
2009,PHP,18.94
2010,PHP,17.8591666666667
2011,PHP,16.5066666666667
2012,PHP,15.0641666666667
2013,PHP,14.14
2014,PHP,12.845
2015,PHP,11.8058333333333
2016,PHP,10.93
2017,PHP,9.38
2018,PHP,7.85416666666667
2019,PHP,6.71666666666667
2020,PHP,5.94
2004,Python,2.81666666666667
2005,Python,3.14416666666667
2006,Python,3.865
2007,Python,4.47583333333333
2008,Python,5.26833333333333
2009,Python,6.47666666666667
2010,Python,6.27083333333333
2011,Python,6.94166666666667
2012,Python,8.09583333333333
2013,Python,9.48
2014,Python,10.2183333333333
2015,Python,11.37
2016,Python,13.3091666666667
2017,Python,17.4616666666667
2018,Python,22.9533333333333
2019,Python,27.5516666666667
2020,Python,30.8944444444444
2004,R,0.418333333333333
2005,R,0.44
2006,R,0.541666666666667
2007,R,0.66
2008,R,0.834166666666667
2009,R,1.02
2010,R,1.17583333333333
2011,R,1.37583333333333
2012,R,1.67416666666667
2013,R,1.98666666666667
2014,R,2.31916666666667
2015,R,2.8
2016,R,3.29
2017,R,3.9525
2018,R,4.07
2019,R,3.87166666666667
2020,R,3.89111111111111
2004,Ruby,0.425
2005,Ruby,0.679166666666667
2006,Ruby,1.96916666666667
2007,Ruby,2.77083333333333
2008,Ruby,2.88
2009,Ruby,2.62166666666667
2010,Ruby,2.315
2011,Ruby,2.6275
2012,Ruby,2.67333333333333
2013,Ruby,2.73
2014,Ruby,2.62416666666667
2015,Ruby,2.5725
2016,Ruby,2.3475
2017,Ruby,2.01166666666667
2018,Ruby,1.64166666666667
2019,Ruby,1.4075
2020,Ruby,1.26
2004,Rust,0.113333333333333
2005,Rust,0.136666666666667
2006,Rust,0.0958333333333333
2007,Rust,0.0908333333333333
2008,Rust,0.0766666666666667
2009,Rust,0.095
2010,Rust,0.0916666666666667
2011,Rust,0.0608333333333333
2012,Rust,0.0758333333333333
2013,Rust,0.08
2014,Rust,0.235833333333333
2015,Rust,0.205833333333333
2016,Rust,0.27
2017,Rust,0.363333333333333
2018,Rust,0.359166666666667
2019,Rust,0.556666666666667
2020,Rust,0.74
2004,Scala,0.04
2005,Scala,0.0175
2006,Scala,0.02
2007,Scala,0.06
2008,Scala,0.14
2009,Scala,0.18
2010,Scala,0.216666666666667
2011,Scala,0.283333333333333
2012,Scala,0.38250000000000000
2013,Scala,0.484166666666667
2014,Scala,0.68
2015,Scala,0.814166666666667
2016,Scala,1.02
2017,Scala,1.26166666666667
2018,Scala,1.1925
2019,Scala,1.1075
2020,Scala,0.971111111111111
2004,Swift,0
2005,Swift,0
2006,Swift,0
2007,Swift,0
2008,Swift,0
2009,Swift,0
2010,Swift,0
2011,Swift,0
2012,Swift,0
2013,Swift,0
2014,Swift,0.815
2015,Swift,2.69083333333333
2016,Swift,3.3825
2017,Swift,3.45
2018,Swift,2.79
2019,Swift,2.4175
2020,Swift,2.29
2004,TypeScript,0
2005,TypeScript,0
2006,TypeScript,0.00416666666666667
2007,TypeScript,0.000833333333333333
2008,TypeScript,0
2009,TypeScript,0
2010,TypeScript,0
2011,TypeScript,0
2012,TypeScript,0.00416666666666667
2013,TypeScript,0.08
2014,TypeScript,0.11
2015,TypeScript,0.175
2016,TypeScript,0.47
2017,TypeScript,1.18666666666667
2018,TypeScript,1.4716666666666700
2019,TypeScript,1.70166666666667
